date,onions,frac
18/12/2014,,0.000143
19/12/2014,,0.000125
20/12/2014,,0.000149
21/12/2014,,0.000165
22/12/2014,,0.000414
23/12/2014,,0.007836
24/12/2014,,0.008926
25/12/2014,27424,0.010682
26/12/2014,25837,0.011662
27/12/2014,27889,0.012186
28/12/2014,28650,0.012082
29/12/2014,30095,0.013342
30/12/2014,29898,0.014198
31/12/2014,28280,0.013419
01/01/2015,26878,0.013675
02/01/2015,27203,0.012752
03/01/2015,26981,0.012381
04/01/2015,29277,0.012553
05/01/2015,27976,0.013928
06/01/2015,28391,0.015879
07/01/2015,26791,0.017127
08/01/2015,29209,0.018292
09/01/2015,29289,0.018091
10/01/2015,27615,0.018397
11/01/2015,27707,0.018456
12/01/2015,28369,0.015815
13/01/2015,29114,0.016193
14/01/2015,28309,0.016078
15/01/2015,29308,0.018242
16/01/2015,27282,0.017446
17/01/2015,27340,0.018572
18/01/2015,29044,0.018541
19/01/2015,29207,0.019246
20/01/2015,31495,0.019881
21/01/2015,30378,0.020569
22/01/2015,27684,0.021048
23/01/2015,29403,0.022153
24/01/2015,27838,0.020408
25/01/2015,26494,0.019626
26/01/2015,28154,0.018379
27/01/2015,29593,0.016333
28/01/2015,,0.006301
29/01/2015,,0.006098
30/01/2015,,0.004452
31/01/2015,,0.003601
01/02/2015,,0.005027
02/02/2015,,0.007974
03/02/2015,28030,0.015136
04/02/2015,28094,0.015935
05/02/2015,27848,0.015776
06/02/2015,29696,0.015969
07/02/2015,28309,0.016772
08/02/2015,25332,0.017296
09/02/2015,27347,0.016503
10/02/2015,29797,0.017226
11/02/2015,29104,0.017182
12/02/2015,29329,0.018277
13/02/2015,28448,0.020222
14/02/2015,28110,0.018493
15/02/2015,25632,0.019697
16/02/2015,28373,0.018197
17/02/2015,26654,0.016818
18/02/2015,29268,0.019411
19/02/2015,29423,0.019388
20/02/2015,28627,0.018884
21/02/2015,29092,0.016865
22/02/2015,24964,0.01598
23/02/2015,31237,0.016349
24/02/2015,29493,0.016847
25/02/2015,30224,0.016695
26/02/2015,31235,0.016409
27/02/2015,30381,0.017234
28/02/2015,29795,0.015232
01/03/2015,27361,0.016434
02/03/2015,29964,0.017593
03/03/2015,28875,0.01792
04/03/2015,28777,0.019032
05/03/2015,31388,0.018868
06/03/2015,28052,0.019216
07/03/2015,28999,0.019466
08/03/2015,27316,0.020309
